,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
314,IndiGo,6/03/2019,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,non-stop,No info,7295
319,IndiGo,15/03/2019,Kolkata,Banglore,CCU → BLR,15:20,17:55,2h 35m,non-stop,No info,4148
328,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,7303
331,IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:20,8h,1 stop,No info,6528
333,IndiGo,12/03/2019,Kolkata,Banglore,CCU → BLR,20:25,23:05,2h 40m,non-stop,No info,4148
345,IndiGo,6/06/2019,Kolkata,Banglore,CCU → BLR,22:15,00:50 07 Jun,2h 35m,non-stop,No info,4804
351,IndiGo,15/05/2019,Delhi,Cochin,DEL → BLR → COK,05:10,10:05,4h 55m,1 stop,No info,6496
352,IndiGo,15/06/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 16 Jun,2h 40m,non-stop,No info,4804
355,IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 02 Jun,2h 50m,non-stop,No info,4591
356,IndiGo,18/03/2019,Banglore,New Delhi,BLR → HYD → DEL,16:15,20:35,4h 20m,1 stop,No info,4437
367,IndiGo,3/03/2019,Chennai,Kolkata,MAA → CCU,14:40,17:05,2h 25m,non-stop,No info,7295
369,IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,6860
372,IndiGo,9/04/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2h 50m,non-stop,No info,4823
374,IndiGo,3/06/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754
382,IndiGo,9/04/2019,Banglore,Delhi,BLR → DEL,16:55,19:55,3h,non-stop,No info,4823
388,IndiGo,18/05/2019,Kolkata,Banglore,CCU → BLR,22:15,00:50 19 May,2h 35m,non-stop,No info,4804
393,IndiGo,3/03/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:35 04 Mar,8h 5m,1 stop,No info,14871
397,IndiGo,3/06/2019,Chennai,Kolkata,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,3597
407,IndiGo,18/04/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 19 Apr,2h 50m,non-stop,No info,4591
414,IndiGo,18/05/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,3943
420,IndiGo,15/05/2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,6442
423,IndiGo,12/04/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 13 Apr,2h 50m,non-stop,No info,6906
442,IndiGo,18/05/2019,Delhi,Cochin,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,6347
445,IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,4823
454,IndiGo,6/06/2019,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,7h 5m,1 stop,No info,6818
457,IndiGo,27/06/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,3858
458,IndiGo,18/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15 19 May,5h 15m,1 stop,No info,6534
463,IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,7648
466,IndiGo,6/03/2019,Kolkata,Banglore,CCU → BLR,17:15,19:55,2h 40m,non-stop,No info,5618
472,IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 25 Jun,9h 30m,1 stop,No info,6316
485,IndiGo,6/03/2019,Chennai,Kolkata,MAA → CCU,05:15,07:35,2h 20m,non-stop,No info,6482
487,IndiGo,18/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:20,23:45,4h 25m,1 stop,No info,3717
488,IndiGo,1/06/2019,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597
493,IndiGo,6/06/2019,Delhi,Cochin,DEL → HYD → COK,08:35,22:30,13h 55m,1 stop,No info,6442
500,IndiGo,9/06/2019,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823
501,IndiGo,27/03/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:35,1h 30m,non-stop,No info,2227
507,IndiGo,9/05/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540
519,IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423
520,IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,04:55,21:20,16h 25m,2 stops,No info,8899
539,IndiGo,1/04/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4174
540,IndiGo,18/05/2019,Kolkata,Banglore,CCU → MAA → BLR,17:35,22:15,4h 40m,1 stop,No info,5699
545,IndiGo,9/03/2019,Mumbai,Hyderabad,BOM → HYD,06:20,07:45,1h 25m,non-stop,No info,4392
550,IndiGo,24/04/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4h 35m,1 stop,No info,5073
561,IndiGo,12/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4488
568,IndiGo,21/06/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4804
574,IndiGo,27/05/2019,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,7h 5m,1 stop,No info,6600
585,IndiGo,15/06/2019,Delhi,Cochin,DEL → HYD → COK,08:35,16:10,7h 35m,1 stop,No info,6442
595,IndiGo,21/05/2019,Chennai,Kolkata,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,3597
616,IndiGo,27/05/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4804
624,IndiGo,6/03/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:20,8h,1 stop,No info,7451
631,IndiGo,6/05/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804
635,IndiGo,3/03/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:45,1h 25m,non-stop,No info,4784
645,IndiGo,24/05/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2h 50m,non-stop,No info,4823
647,IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,08:25,21:00,12h 35m,1 stop,No info,14871
648,IndiGo,21/06/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049
650,IndiGo,9/04/2019,Kolkata,Banglore,CCU → BBI → BLR,19:55,23:50,3h 55m,1 stop,No info,4226
654,IndiGo,9/06/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,non-stop,No info,2754
669,IndiGo,12/06/2019,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,1h 30m,non-stop,No info,4049
675,IndiGo,18/05/2019,Kolkata,Banglore,CCU → MAA → BLR,08:10,13:00,4h 50m,1 stop,No info,5279
679,IndiGo,3/05/2019,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597
681,IndiGo,15/05/2019,Delhi,Cochin,DEL → BLR → COK,17:05,22:15,5h 10m,1 stop,No info,6027
684,IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 28 May,3h,non-stop,No info,3943
686,IndiGo,15/03/2019,Chennai,Kolkata,MAA → CCU,05:15,07:35,2h 20m,non-stop,No info,4326
689,IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,4823
693,IndiGo,03/03/2019,Banglore,New Delhi,BLR → LKO → DEL,05:25,10:10,4h 45m,1 stop,No info,7774
695,IndiGo,27/05/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No info,7514
697,IndiGo,18/03/2019,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,non-stop,No info,3858
703,IndiGo,24/03/2019,Kolkata,Banglore,CCU → BLR,20:25,23:05,2h 40m,non-stop,No info,8872
710,IndiGo,1/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,6416
714,IndiGo,18/03/2019,Kolkata,Banglore,CCU → BLR,05:30,08:20,2h 50m,non-stop,No info,4462
715,IndiGo,1/04/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4h 35m,1 stop,No info,5073
716,IndiGo,27/03/2019,Chennai,Kolkata,MAA → CCU,05:15,07:35,2h 20m,non-stop,No info,4326
718,IndiGo,12/06/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,3175
722,IndiGo,18/05/2019,Kolkata,Banglore,CCU → MAA → BLR,06:20,10:20,4h,1 stop,No info,4226
724,IndiGo,15/05/2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,8618
725,IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4174
729,IndiGo,6/03/2019,Mumbai,Hyderabad,BOM → GOI → HYD,15:45,23:00,7h 15m,1 stop,No info,7681
735,IndiGo,9/05/2019,Kolkata,Banglore,CCU → MAA → BLR,08:10,13:00,4h 50m,1 stop,No info,5069
745,IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,21:20,00:15 10 Mar,2h 55m,non-stop,No info,6144
746,IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,07:30,15:30,8h,1 stop,No info,14871
748,IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,01:30 16 May,14h 55m,1 stop,No info,6979
750,IndiGo,1/06/2019,Delhi,Cochin,DEL → BOM → COK,09:15,01:30 02 Jun,16h 15m,1 stop,No info,7048
752,IndiGo,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,21:00,5h,1 stop,No info,5054
755,IndiGo,27/04/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No info,6442
759,IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,3943
760,IndiGo,3/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,11:30,6h 45m,1 stop,No info,14871
764,IndiGo,9/04/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,4423
775,IndiGo,15/05/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540
783,IndiGo,1/06/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,6h 20m,1 stop,No info,6938
788,IndiGo,15/05/2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,3597
795,IndiGo,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,16:55,21:50,4h 55m,1 stop,No Info,8153
801,IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 02 Jun,2h 50m,non-stop,No info,3419
809,IndiGo,3/03/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25 04 Mar,2h 20m,non-stop,No info,5277
811,IndiGo,15/05/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:30,8h 10m,1 stop,No info,6412
814,IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,3419
815,IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 07 Apr,2h 50m,non-stop,No info,3943
834,IndiGo,9/03/2019,Kolkata,Banglore,CCU → BLR,05:30,08:20,2h 50m,non-stop,No info,4148
837,IndiGo,1/03/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:25,1h 25m,non-stop,No info,12475
843,IndiGo,9/05/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 10 May,2h 50m,non-stop,No info,3943
847,IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,05:30,08:20,2h 50m,non-stop,No info,3943
851,IndiGo,9/05/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:30 10 May,6h 55m,1 stop,No info,8542
852,IndiGo,24/05/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,4804
853,IndiGo,6/06/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15 07 Jun,5h 15m,1 stop,No info,6711
855,IndiGo,6/06/2019,Banglore,Delhi,BLR → DEL,00:25,03:15,2h 50m,non-stop,No info,3943
857,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,21:20,00:15 28 Mar,2h 55m,non-stop,No info,5694
860,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,00:40,03:25,2h 45m,non-stop,No info,6144
861,IndiGo,27/04/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,6015
889,IndiGo,9/06/2019,Kolkata,Banglore,CCU → HYD → BLR,19:20,23:45,4h 25m,1 stop,No info,4205
895,IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,06:40,16:10,9h 30m,1 stop,No info,9027
905,IndiGo,18/05/2019,Delhi,Cochin,DEL → HYD → COK,08:35,16:10,7h 35m,1 stop,No info,6442
907,IndiGo,21/04/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4h 35m,1 stop,No info,5703
909,IndiGo,15/04/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No info,4174
912,IndiGo,21/05/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804
929,IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 02 Jun,3h,non-stop,No info,3943
930,IndiGo,18/03/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,3175
942,IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943
944,IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,3419
945,IndiGo,15/03/2019,Banglore,New Delhi,BLR → DEL,21:20,00:15 16 Mar,2h 55m,non-stop,No info,8033
950,IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,06:40,22:20,15h 40m,1 stop,No info,11600
951,IndiGo,6/06/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25 07 Jun,2h 20m,non-stop,No info,5277
953,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,6144
961,IndiGo,27/05/2019,Delhi,Cochin,DEL → PNQ → COK,23:30,04:35 28 May,5h 5m,1 stop,No info,9476
968,IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 19 Jun,2h 50m,non-stop,No info,3943
972,IndiGo,12/06/2019,Delhi,Cochin,DEL → PNQ → COK,23:30,04:35 13 Jun,5h 5m,1 stop,No info,10112
979,IndiGo,9/05/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25 10 May,2h 20m,non-stop,No info,5277
988,IndiGo,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 28 May,9h 30m,1 stop,No info,7048
993,IndiGo,21/04/2019,Banglore,Delhi,BLR → DEL,16:55,19:55,3h,non-stop,No info,4990
1000,IndiGo,21/03/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:35 22 Mar,7h,1 stop,No info,9264
1002,IndiGo,24/06/2019,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,7h 5m,1 stop,No info,6442
1004,IndiGo,1/05/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6218
1012,IndiGo,21/03/2019,Kolkata,Banglore,CCU → BLR,20:25,23:05,2h 40m,non-stop,No info,4462
1016,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,18:55,21:45,2h 50m,non-stop,No info,7303
1022,IndiGo,1/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,6442
1026,IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2h 50m,non-stop,No info,4823
1027,IndiGo,9/06/2019,Banglore,Delhi,BLR → DEL,08:30,11:20,2h 50m,non-stop,No info,4823
1053,IndiGo,27/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4h 35m,1 stop,No info,5054
1057,IndiGo,1/05/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754
1062,IndiGo,21/05/2019,Delhi,Cochin,DEL → BOM → COK,09:15,21:00,11h 45m,1 stop,No info,7318
1064,IndiGo,9/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 10 Jun,5h 45m,1 stop,No info,6195
1068,IndiGo,21/06/2019,Delhi,Cochin,DEL → COK,21:05,00:20 22 Jun,3h 15m,non-stop,No info,5406
1086,IndiGo,1/06/2019,Delhi,Cochin,DEL → HYD → COK,11:55,22:30,10h 35m,1 stop,No info,6674
1087,IndiGo,18/05/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:40,1h 35m,non-stop,No info,2227
1089,IndiGo,21/03/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,3175
1090,IndiGo,1/03/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,6565
1094,IndiGo,6/03/2019,Kolkata,Banglore,CCU → BLR,20:25,23:05,2h 40m,non-stop,No info,4778
1103,IndiGo,6/05/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,3943
1112,IndiGo,21/06/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2227
1116,IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,21:20,00:15 13 Mar,2h 55m,non-stop,No info,4777
1119,IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 28 May,2h 50m,non-stop,No info,3943
1121,IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,09:10,01:35 07 Mar,16h 25m,1 stop,No info,14871
1131,IndiGo,15/03/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,4148
1132,IndiGo,6/03/2019,Delhi,Cochin,DEL → HYD → COK,06:40,12:00,5h 20m,1 stop,No info,5647
1134,IndiGo,9/05/2019,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,7h 5m,1 stop,No info,6818
1144,IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,4423
1146,IndiGo,24/05/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:30 25 May,6h 55m,1 stop,No info,7503
1147,IndiGo,24/06/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 25 Jun,2h 40m,non-stop,No info,4804
1156,IndiGo,3/05/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 04 May,2h 50m,non-stop,No info,4591
1164,IndiGo,15/03/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,6297
1168,IndiGo,24/03/2019,Kolkata,Banglore,CCU → BBI → BLR,11:55,16:25,4h 30m,1 stop,No info,9806
1169,IndiGo,6/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 07 Jun,5h 45m,1 stop,No info,6195
1176,IndiGo,18/05/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6704
1178,IndiGo,18/03/2019,Kolkata,Banglore,CCU → BLR,15:20,17:55,2h 35m,non-stop,No info,4462
1182,IndiGo,21/05/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,5224
1186,IndiGo,1/06/2019,Kolkata,Banglore,CCU → BLR,09:35,12:10,2h 35m,non-stop,No info,4804
